Order_id,Order_date,Ship_date,Ship_mode,gender,ip_address,Customer_id,segment,City,State,Country,Category,Sub Category,Product Name,Quantity,Discount,Profit,Shipping Cost
13,10/28/2024,6/27/2024,Next-day,Male,206.183.140.180,9XQ5Y17FC70,Consumer,Mejicanos,San Salvador,El Salvador,Office Supplies,Pet Supplies,Charming Floral Tea Towel,2,0.1,$239.52,201.969
14,12/11/2024,7/22/2024,Standard,Non-binary,118.102.34.149,8JR1K53PG28,Home Office,Sydney,New South Wales,Australia,Office Supplies,Outdoor Gear,Minimalist Glass Vase,9,0.1,-$149.36,201.82
15,11/26/2024,5/18/2024,Next-day,Male,200.209.53.142,3RC5TJ6EC14,Consumer,Kendari,Sulawesi Tenggara,Indonesia,Office Supplies,Beauty Products,Chic Velvet Throw Pillow,3,0.47,$172.91,201.68
16,8/30/2024,7/30/2024,Next-day,Male,21.231.86.180,2QN7JE1KA52,Home Office,Casablanca,Grand Casablanca,Morocco,Furniture,Beauty Products,Modern Hanging Plant Holder,4,0.1,$327.12,201.54
17,1/1/2025,8/21/2024,Express,Female,35.167.83.206,5YW1TG7XD34,Home Office,Khulna,Khulna,Bangladesh,Office Supplies,Electronics,Sleek Glass Water Pitcher,10,0.4,$108.90,201.18
18,4/21/2024,10/28/2024,Standard,Male,164.88.240.130,7V04J18YN35,Consumer,Medan,Sumatera Utara,Indonesia,Office Supplies,Electronics,Whimsical Unicorn Night Light,7,0.15,$399.98,200.9
19,4/27/2024,11/4/2024,Express,Female,122.119.248.211,7VH7NK4NE00,Consumer,Avadi,Tamil Nadu,India,Office Supplies,Home Decor,Funky Retro Wall Clock,6,0.15,$184.50,200.83
20,6/27/2024,5/8/2024,Next-day,Female,119.237.36.38,6YV9YR1NG61,Home Office,Semarang,Jawa Tengah,Indonesia,Furniture,Electronics,Artistic Ceramic Sculpture,13,0.25,$127.34,200.7
21,8/11/2024,8/19/2024,Express,Male,83.7.196.73,3V04R76KN32,Home Office,Stuttgart,Baden-Württemberg,Germany,Furniture,Home Decor,Quirky Pop Art Print,2,0.3,$371.04,200.65
22,6/10/2024,12/20/2024,Next-day,Female,50.150.190.212,4UV1K15JC33,Consumer,Hamilton,Waikato,New Zealand,Office Supplies,Pet Supplies,Modern Concrete Planter,8,0.1,$632.40,200.47
23,2/3/2025,9/16/2024,Economy,Female,70.87.203.245,4XW4D66UG05,Home Office,Kinshasa,Kinshasa,Democratic Republic of the Congo,Office Supplies,Electronics,Dainty Rose Gold Hoop Earrings,8,0,$78.72,200.45
24,5/20/2024,7/1/2024,Next-day,Female,104.155.173.79,9VA3YE7MU05,Consumer,Lyon,Auvergne-Rhône-Alpes,France,Office Supplies,Toys,Cozy Faux Fur Rug,6,0,$920.75,200.41
25,9/2/2024,5/16/2024,Economy,Male,96.69.201.20,5RU0XU2UE42,Consumer,Lille,Nord-Pas-de-Calais-Picardie,France,Office Supplies,Home Decor,Sleek Glass Water Pitcher,3,0.1,-$27.94,200.35
26,12/28/2024,2/8/2025,Standard,Genderfluid,112.138.139.222,5RX2UR8NN62,Home Office,Chelyabinsk,Chelyabinsk,Russia,Office Supplies,Clothing,Chic Linen Table Runner,2,0.6,$255.48,200.09
27,7/23/2024,1/10/2025,Next-day,Female,44.252.109.216,2X32AF3GM75,Home Office,Zhanjiang,Guangdong,China,Office Supplies,Toys,Funky Neon Wall Clock,7,0.2,$101.22,200.07
28,10/21/2024,2/6/2025,Economy,Male,186.7.115.39,2EV8ME5WJ35,Home Office,Marseille,Provence-Alpes-Côte d'Azur,France,Furniture,Sports Equipment,Glamorous Gold Bar Cart,9,0,$923.54,200.06
29,10/6/2024,7/3/2024,Next-day,Female,144.183.89.220,1WQ0EN9KR66,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,Office Supplies,Electronics,Sleek Glass Water Pitcher,5,0.7,-$45.54,199.986
30,9/18/2024,12/24/2024,Next-day,Male,239.1.127.106,9DV9KW1GD92,Corporate,Regina,Saskatchewan,Canada,Technology,Toys,Funky Geometric Wall Art,1,0,$4.14,2.65
31,10/14/2024,1/12/2025,Express,Female,230.228.3.195,2YY6EC7QK06,Consumer,Mejicanos,San Salvador,El Salvador,Office Supplies,Sports Equipment,Eco-Friendly Bamboo Cutting Board,3,0,$182.82,199.794
32,8/16/2024,10/5/2024,Economy,Male,166.221.8.144,4H49DF9RV92,Home Office,Jakarta,Jakarta,Indonesia,Furniture,Sports Equipment,Classic Stainless Steel Watch,4,0.1,$234.27,199.66
33,3/25/2024,7/3/2024,Next-day,Female,69.25.1.237,4WH1NA0QF24,Home Office,Berlin,Berlin,Germany,Furniture,Kitchen Appliances,Unique Hand-Carved Wooden Bowl,5,0,$241.89,199.64
34,10/6/2024,10/7/2024,Next-day,Male,183.50.91.220,7A45T18WW87,Home Office,Yueyang,Hunan,China,Technology,Electronics,Minimalist Glass Vase,8,0.1,$308.16,199.53
35,8/4/2024,10/15/2024,Express,Female,134.33.255.139,9ET2VX3VD85,Home Office,New York City,New York,United States,Office Supplies,Electronics,Industrial Metal Wall Clock,2,0,$12.86,2.01
36,7/8/2024,4/18/2024,Economy,Female,216.51.237.191,3U33M69HR62,Corporate,Tijuana,Baja California,Mexico,Furniture,Sports Equipment,Vintage Camera Lens Necklace,3,0.1,$150.89,199.425
37,7/24/2024,6/20/2024,Express,Female,193.21.118.17,9CK6QT4UF35,Home Office,Surabaya,Jawa Timur,Indonesia,Furniture,Home Decor,Sustainable Bamboo Salad Bowl,4,0,$39.55,199.05
38,2/20/2024,10/3/2024,Express,Male,203.11.251.19,5E95QX3HK29,Home Office,Algiers,Alger,Algeria,Furniture,Sports Equipment,Elegant Sapphire Necklace,4,0,$506.52,199.04
39,8/8/2024,12/31/2024,Economy,Non-binary,78.135.104.53,9JE7VM1TA77,Home Office,Townsville,Queensland,Australia,Furniture,Sports Equipment,Edgy Skull Print Shower Curtain,8,0,$274.08,198.47
40,10/4/2024,11/6/2024,Standard,Male,7.224.17.241,4DM2H99CY56,Home Office,Pretoria,Gauteng,South Africa,Office Supplies,Kitchen Appliances,Cozy Knit Throw Pillow,4,0.1,$182.28,198.39
41,8/20/2024,4/24/2024,Economy,Polygender,75.74.5.83,7JR7UG7PH46,Consumer,Melbourne,Victoria,Australia,Technology,Electronics,Sleek Stainless Steel Water Bottle,7,0,$20.62,198.28
42,3/9/2024,9/26/2024,Express,Female,133.174.76.129,8XN9A32TQ55,Corporate,Reutlingen,Baden-Württemberg,Germany,Furniture,Toys,Rustic Farmhouse Sign,5,0,$716.40,198.27
43,5/1/2024,2/21/2024,Next-day,Male,110.161.106.117,6M51MJ9WF11,Home Office,Canberra,Australian Capital Territory,Australia,Office Supplies,Beauty Products,Artistic Hand-Painted Plate,9,0,-$428.87,198.02
44,5/26/2024,2/20/2024,Standard,Female,93.106.124.184,6WU0NX7TK94,Consumer,Soyapango,San Salvador,El Salvador,Office Supplies,Home Decor,Chic Velvet Throw Pillow,7,0.2,$118.72,197.94
45,4/9/2024,10/4/2024,Economy,Female,190.222.31.125,7H87XQ1GP80,Corporate,Arras,Nord-Pas-de-Calais-Picardie,France,Furniture,Pet Supplies,Bohemian Fringe Hammock,7,0,$660.37,197.93
46,10/30/2024,3/20/2024,Next-day,Male,181.44.106.140,9C35KH0JC00,Corporate,Townsville,Queensland,Australia,Furniture,Kitchen Appliances,Vintage Brass Desk Lamp,4,0.402,$208.00,197.79
47,6/9/2024,7/4/2024,Next-day,Male,10.126.207.39,4MV4V26JX40,Corporate,Kuala Lumpur,Kuala Lumpur,Malaysia,Furniture,Clothing,Glamorous Crystal Chandelier,5,0.2,$171.30,197.68
48,1/20/2025,11/12/2024,Economy,Male,83.13.148.159,1DA9WD1KE06,Consumer,Matsudo,Chiba,Japan,Technology,Home Decor,Modern Concrete Planter,9,0,$453.87,197.68
49,5/6/2024,9/9/2024,Next-day,Male,221.204.157.131,3KE1XD7FE30,Home Office,Bayamo,Granma,Cuba,Technology,Sports Equipment,Art Deco Brass Candle Holder,2,0.5,$50.56,197.659
50,10/25/2024,11/1/2024,Next-day,Female,189.20.15.207,6PW1P74QF01,Home Office,Reynosa,Tamaulipas,Mexico,Furniture,Outdoor Gear,Trendy Succulent Planter,2,0,$141.18,197.263
51,5/5/2024,1/20/2025,Standard,Male,143.0.78.114,9AQ7F21MX99,Consumer,Chester,England,United Kingdom,Furniture,Kitchen Appliances,Retro Vinyl Record Storage,9,0,$255.69,197.22
52,10/13/2024,4/7/2024,Next-day,Female,209.167.52.84,8AR1QU7CM58,Consumer,Rostock,Mecklenburg-Vorpommern,Germany,Office Supplies,Sports Equipment,Unique Handmade Pottery Bowl,2,0.1,$224.94,197.18
53,4/10/2024,10/28/2024,Next-day,Male,14.53.66.133,7W58DX2EM53,Home Office,San Luis,San Luis,Argentina,Office Supplies,Kitchen Appliances,Artistic Hand-Painted Plate,5,0,-$236.88,197.179
54,9/13/2024,7/15/2024,Economy,Genderfluid,133.110.153.184,2DR9AA8WU52,Corporate,Namur,Namur,Belgium,Furniture,Toys,Dainty Silver Charm Bracelet,5,0.002,$103.80,197.11
55,5/9/2024,2/26/2024,Economy,Female,2.30.42.231,3NU6WT4GY01,Corporate,Aachen,North Rhine-Westphalia,Germany,Furniture,Home Decor,Charming Vintage Tea Set,7,0.002,$494.40,197.03
56,6/3/2024,12/5/2024,Next-day,Male,123.209.54.176,1K14QE3WY14,Corporate,Jakarta,Jakarta,Indonesia,Technology,Pet Supplies,Edgy Skull Print Throw Blanket,5,0.07,-$0.05,196.97
57,7/21/2024,11/1/2024,Standard,Male,91.161.242.6,2P74E86XT76,Consumer,Boulogne-Billancourt,Ile-de-France,France,Furniture,Toys,Art Deco Glass Decanter,2,0,$89.07,196.9
58,2/12/2025,10/31/2024,Express,Male,107.161.254.80,1RT2MU6NH20,Consumer,Melbourne,Victoria,Australia,Office Supplies,Beauty Products,Industrial Steampunk Desk Lamp,8,0.1,"$1,202.02",196.84
59,3/13/2024,5/18/2024,Standard,Male,248.39.105.74,6PW6M83MT42,Home Office,Ballarat,Victoria,Australia,Office Supplies,Sports Equipment,Stylish Faux Fur Throw,5,0.2,$604.86,196.63
60,7/27/2024,7/18/2024,Next-day,Male,16.184.101.174,9K75MX4QN58,Home Office,Gold Coast,Queensland,Australia,Furniture,Home Decor,Trendy Succulent Planter,6,0,-$705.10,196.55
61,9/25/2024,12/22/2024,Express,Female,210.46.173.223,3RQ4DU3XA77,Corporate,Vienna,Vienna,Austria,Technology,Books,Chic Marble Serving Tray,4,0,$449.88,196.32
62,4/26/2024,1/10/2025,Standard,Female,228.84.102.12,6PC3XC6NN48,Corporate,Rasht,Gilan,Iran,Office Supplies,Clothing,Unique Hand-Blown Glass Vase,2,0.002,$68.70,196.23
63,4/1/2024,2/11/2025,Next-day,Male,74.86.21.222,8DH2Q78GD05,Home Office,Provo,Utah,United States,Office Supplies,Sports Equipment,Sleek Aluminum Water Bottle,3,0,$4.27,1.9
64,10/30/2024,4/14/2024,Standard,Female,138.241.254.79,7YN0UY3GT81,Consumer,Paris,Ile-de-France,France,Office Supplies,Toys,Industrial Metal Wall Clock,5,0,$350.48,195.87
65,8/31/2024,3/30/2024,Next-day,Male,254.137.129.162,4FJ4JK2CK79,Corporate,Oyonnax,Auvergne-Rhône-Alpes,France,Office Supplies,Pet Supplies,Artistic Hand-Painted Plate,4,0.2,$129.20,195.59
66,9/8/2024,10/31/2024,Standard,Bigender,85.80.215.124,2MR1X18WY48,Consumer,Provo,Utah,United States,Office Supplies,Pet Supplies,Charming Floral Tea Cup Set,3,0,$3.50,1.35
67,12/24/2024,6/1/2024,Standard,Male,84.187.80.189,6V46RJ5VK20,Corporate,Managua,Managua,Nicaragua,Technology,Books,Vintage Typewriter Key Necklace,3,0,$225.47,195.533
68,3/21/2024,7/28/2024,Standard,Female,193.72.220.239,8CW1GV2NP98,Consumer,Provo,Utah,United States,Technology,Beauty Products,Playful Emoji Pillow,5,0,$7.06,1.34
69,7/24/2024,5/14/2024,Express,Male,59.142.13.117,4HJ0GK4XD85,Corporate,Tampa,Florida,United States,Technology,Sports Equipment,Cozy Faux Fur Rug,3,0.002,$47.82,12.44
70,4/1/2024,1/2/2025,Economy,Female,169.154.153.84,1AK1K20YX16,Home Office,Grajaú,Maranhão,Brazil,Office Supplies,Toys,Elegant Sapphire Necklace,6,0.2,$9.96,195.371
71,1/5/2025,11/30/2024,Next-day,Female,24.224.71.70,2HU2UF6DJ72,Corporate,Barcelona,Catalonia,Spain,Office Supplies,Kitchen Appliances,Industrial Metal Wall Clock,7,0,$186.06,195.34
72,3/2/2024,3/27/2024,Next-day,Female,219.41.138.7,6K08VQ5VY30,Corporate,Luoyang,Fujian,China,Technology,Kitchen Appliances,Edgy Leather Cuff Bracelet,4,0,$238.68,195.25
73,12/15/2024,10/29/2024,Economy,Female,62.95.74.135,5GH6RC1AD53,Consumer,Koshigaya,Saitama,Japan,Office Supplies,Pet Supplies,Minimalist Concrete Coasters,6,0,$250.38,195.24
74,2/24/2024,7/1/2024,Next-day,Female,122.199.97.56,7WW4GN4HC84,Consumer,Beirut,Beirut,Lebanon,Office Supplies,Sports Equipment,Quirky Pop Art Print,2,0.4,$124.86,195.23
75,11/25/2024,4/16/2024,Express,Male,90.240.44.108,7J52VQ2JN84,Home Office,Wollongong,New South Wales,Australia,Technology,Beauty Products,Trendy Terrarium Kit,8,0,$28.56,194.97
76,6/8/2024,2/15/2025,Standard,Male,231.82.2.106,4A87DE3QA63,Consumer,Sydney,New South Wales,Australia,Technology,Kitchen Appliances,Industrial Metal Wall Clock,5,0,-$41.81,194.67
77,9/23/2024,11/10/2024,Express,Female,181.239.249.216,9F16NQ0AA51,Home Office,Jixi,Heilongjiang,China,Technology,Sports Equipment,Dainty Rose Gold Hoop Earrings,6,0,$558.72,194.61
78,10/10/2024,7/24/2024,Economy,Female,123.215.236.58,8DC9D89UT12,Consumer,Huelva,Andalusía,Spain,Office Supplies,Toys,Rustic Farmhouse Sign,3,0.27,$232.08,194.6
79,11/20/2024,1/15/2025,Express,Male,2.14.10.185,2PU9R98PR63,Consumer,Luoyang,Fujian,China,Office Supplies,Home Decor,Whimsical Unicorn Night Light,6,0,$174.60,194.55
80,8/26/2024,12/9/2024,Economy,Female,178.94.22.238,9YV0C97PQ60,Consumer,Alexandria,Al Iskandariyah,Egypt,Office Supplies,Kitchen Appliances,Vintage-Inspired Globe Bar Cart,6,0.2,$236.34,194.42
81,9/10/2024,12/5/2024,Express,Female,79.104.214.207,8CT7AA8XJ21,Corporate,Geelong,Victoria,Australia,Technology,Books,Cozy Faux Fur Rug,7,0.1,-$821.96,194.41
82,10/2/2024,8/25/2024,Economy,Female,22.191.171.133,3GR2YD7UX48,Home Office,Hefei,Anhui,China,Office Supplies,Toys,Stylish Enamel Pin Set,7,0.1,$371.49,194.36
83,5/11/2024,1/3/2025,Economy,Male,169.238.12.115,2P27Y10GT13,Consumer,Tampa,Florida,United States,Furniture,Electronics,Unique Hand-Blown Glass Vase,1,0,$17.85,12.03
84,5/3/2024,11/4/2024,Standard,Male,128.75.157.124,2PD9G96GM78,Consumer,Valenzuela,National Capital,Philippines,Office Supplies,Kitchen Appliances,Funky Retro Wall Clock,3,0.07,$171.70,194.21
85,3/23/2024,5/19/2024,Economy,Female,14.229.194.235,7FT0T51GC16,Corporate,Tampa,Florida,United States,Office Supplies,Beauty Products,Minimalist Glass Vase,4,0,-$31.67,5.01
86,2/12/2025,11/9/2024,Next-day,Male,58.30.255.186,2P10QD5TE03,Home Office,Thanjavur,Tamil Nadu,India,Office Supplies,Electronics,Sophisticated Leather Laptop Sleeve,9,0,$613.17,193.81
87,9/4/2024,5/6/2024,Express,Female,87.73.222.7,4H15E56TD34,Home Office,San Luis Potosí,San Luis Potosí,Mexico,Furniture,Kitchen Appliances,Stylish Enamel Pin Set,3,0,$126.59,193.758
88,4/24/2024,7/4/2024,Next-day,Male,67.233.39.35,5JF4YF5MV35,Corporate,Tegal,Jawa Tengah,Indonesia,Office Supplies,Kitchen Appliances,Stylish Engraved Cuff Bracelet,3,0.2,$381.72,193.62
89,2/20/2024,12/10/2024,Standard,Male,74.251.19.222,5UU0NC3TX46,Home Office,Tampa,Florida,United States,Office Supplies,Toys,Classic Leather Passport Cover,3,0.1,$5.14,4.57
90,11/15/2024,10/4/2024,Express,Male,254.90.237.218,8M72R55MX34,Consumer,Rome,Lazio,Italy,Office Supplies,Electronics,Boho Rattan Basket,3,0,$140.58,193.57
91,11/4/2024,2/3/2025,Economy,Female,97.9.18.171,1XK3KR8DV36,Consumer,Phnom Penh,Phnom Penh,Cambodia,Furniture,Beauty Products,Modern Hanging Plant Holder,4,0,$405.36,193.56
92,5/24/2024,5/13/2024,Express,Male,134.136.218.20,2VA9TC6XQ90,Home Office,Gold Coast,Queensland,Australia,Technology,Electronics,Bohemian Dreamcatcher Wall Decor,2,0,-$321.37,193.37
93,3/3/2024,7/10/2024,Next-day,Female,59.130.217.215,6NV1JT1EJ03,Corporate,Los Angeles,California,United States,Furniture,Toys,Funky Retro Wall Clock,3,0,$17.03,4.29
94,7/26/2024,8/30/2024,Economy,Female,148.155.28.238,7PD0XX8VG35,Corporate,Melbourne,Victoria,Australia,Furniture,Sports Equipment,Chic Marble Coaster Set,3,0.17,$124.01,193.21
95,1/9/2025,8/9/2024,Next-day,Male,79.200.30.20,6CY3C52FH69,Home Office,Philadelphia,Pennsylvania,United States,Furniture,Outdoor Gear,Vintage Typewriter Key Necklace,3,0.1,$3.67,2.83
96,9/21/2024,7/5/2024,Express,Female,196.160.128.10,7G05XQ7DT84,Corporate,Sevran,Ile-de-France,France,Furniture,Home Decor,Retro Polaroid Camera,3,0.6,$14.98,193.09
97,4/1/2024,5/14/2024,Standard,Female,159.129.10.9,7CH5AY8XE29,Home Office,Hastings,England,United Kingdom,Technology,Clothing,Timeless Diamond Stud Earrings,4,0.1,$331.68,192.96
98,10/5/2024,6/22/2024,Express,Male,180.91.85.22,5A41UM3PU16,Corporate,Halmstad,Halland,Sweden,Office Supplies,Toys,Coastal Seashell Decor,6,0.002,-$177.39,192.81
99,1/14/2025,10/11/2024,Economy,Male,120.242.183.197,9C20P34CR74,Corporate,Amstelveen,North Holland,Netherlands,Technology,Electronics,Vintage-Inspired Globe Bar Cart,7,0.1,-$458.43,192.64
100,7/23/2024,11/7/2024,Standard,Male,129.21.78.79,7U72NN4PX74,Consumer,Portici,Campania,Italy,Office Supplies,Clothing,Glamorous Crystal Chandelier,7,0.15,$340.83,192.52
101,4/30/2024,9/6/2024,Next-day,Female,106.205.238.218,7HH3T74UE01,Home Office,Philadelphia,Pennsylvania,United States,Office Supplies,Home Decor,Retro Vinyl Record Storage,2,0,$3.63,2.24
102,4/1/2024,9/8/2024,Standard,Female,3.43.30.110,4VM5CV2JN39,Corporate,Springfield,Virginia,United States,Technology,Electronics,Modern Hanging Plant Holder,2,0.3,$1.45,2.01
103,12/30/2024,3/16/2024,Standard,Genderfluid,21.91.49.24,3JQ9K42NX25,Consumer,Khulna,Khulna,Bangladesh,Technology,Sports Equipment,Edgy Leather Cuff Bracelet,9,0,"$1,594.89",192.23
104,8/24/2024,7/16/2024,Standard,Genderqueer,104.196.141.92,9VA3TU8UT89,Home Office,Cleveland,Ohio,United States,Furniture,Beauty Products,Timeless Pearl Drop Earrings,6,0.1,-$34.38,1.93
105,12/25/2024,2/3/2025,Standard,Male,46.78.242.99,2GA5XY1VY13,Consumer,Murray Bridge,South Australia,Australia,Office Supplies,Beauty Products,Bohemian Dreamcatcher Wall Decor,2,0,$188.01,191.99
106,9/24/2024,2/25/2024,Standard,Male,62.32.233.200,9NW4TP8RN61,Consumer,Tengzhou,Shandong,China,Technology,Beauty Products,Sustainable Bamboo Utensil Set,5,0,$438.75,191.76
107,8/18/2024,11/8/2024,Next-day,Male,128.237.231.250,9HN7HG4JY14,Consumer,Bagneux,Ile-de-France,France,Furniture,Pet Supplies,Bold Striped Beach Towel,4,0,$132.17,191.65
108,6/30/2024,1/1/2025,Next-day,Male,83.226.80.201,3R40KD9XW89,Home Office,Duisburg,North Rhine-Westphalia,Germany,Furniture,Books,Vintage-Inspired Globe Bar Cart,8,0,$205.92,191.64
109,6/10/2024,9/19/2024,Economy,Male,38.114.15.139,4PK3HX6QM42,Consumer,Balikpapan,Kalimantan Timur,Indonesia,Technology,Beauty Products,Classic Stainless Steel Watch,8,0.1,$396.67,191.58
110,11/7/2024,2/5/2025,Economy,Male,23.17.142.74,3TM4C13JN18,Corporate,Bhatinda,Punjab,India,Office Supplies,Toys,Art Deco Brass Candle Holder,4,0.15,$298.08,191.29
111,1/20/2025,4/13/2024,Economy,Male,130.123.149.14,3GT7U99PA35,Corporate,Bandung,Jawa Barat,Indonesia,Office Supplies,Outdoor Gear,Glamorous Crystal Chandelier,3,0,-$916.04,191.26
112,2/9/2025,8/29/2024,Express,Male,129.251.7.40,7KV1N41EE53,Corporate,Poza Rica de Hidalgo,Veracruz,Mexico,Office Supplies,Electronics,Timeless Pearl Necklace,8,0.1,$999.36,191.201
113,11/16/2024,10/6/2024,Standard,Male,50.136.191.138,6RK3HK9CN50,Consumer,Le Petit-Quevilly,Normandy,France,Technology,Outdoor Gear,Modern Marble Coaster Set,4,0,$551.98,191.2
114,1/11/2025,8/10/2024,Express,Female,216.167.181.178,2R76QX3YJ61,Corporate,Colmar,Alsace-Champagne-Ardenne-Lorraine,France,Furniture,Kitchen Appliances,Boho Rattan Basket,3,0,-$124.66,190.96
115,6/26/2024,1/16/2025,Express,Female,67.73.146.110,9K01KU9QM18,Corporate,Bekasi,Jawa Barat,Indonesia,Technology,Toys,Dainty Rose Gold Hoop Earrings,5,0,-$0.05,190.79
116,6/22/2024,7/6/2024,Express,Genderqueer,135.152.51.124,3M26PC3VG45,Consumer,Madrid,Madrid,Spain,Office Supplies,Sports Equipment,Vintage Camera Lens Necklace,7,0.07,-$88.81,190.71
117,10/10/2024,11/23/2024,Next-day,Male,206.128.39.210,2CQ4A01XG31,Corporate,Rome,Lazio,Italy,Furniture,Beauty Products,Coastal Seashell Jewelry Box,7,0.07,"-$1,476.09",190.6
118,11/5/2024,8/11/2024,Standard,Male,219.250.205.255,1A58F72TK40,Home Office,Clichy-sous-Bois,Ile-de-France,France,Furniture,Sports Equipment,Coastal Seashell Jewelry Box,9,0.1,$841.79,190.51
119,3/19/2024,12/24/2024,Express,Male,139.202.116.9,1V40X14CN01,Corporate,La Seyne-sur-Mer,Provence-Alpes-Côte d'Azur,France,Furniture,Home Decor,Bold Striped Beach Towel,6,0,$594.22,190.42
120,3/30/2024,5/23/2024,Next-day,Female,46.70.124.82,9T92KD2GC56,Home Office,Antipolo,Calabarzon,Philippines,Furniture,Sports Equipment,Funky Geometric Wall Art,3,0,-$14.35,190.41
121,10/16/2024,7/8/2024,Standard,Female,42.171.149.234,3Y98QM4JP84,Consumer,Luoyang,Guangdong,China,Technology,Home Decor,Chic Marble Serving Tray,4,0.1,$103.07,190.28
122,5/7/2024,9/24/2024,Express,Female,100.252.230.22,2JA0CU0KF57,Corporate,Creil,Nord-Pas-de-Calais-Picardie,France,Office Supplies,Pet Supplies,Retro Vinyl Record Storage,7,0.2,-$30.43,190.15
123,3/14/2024,11/13/2024,Economy,Agender,18.120.64.106,7D58XG5MX02,Consumer,Curitiba,Parana,Brazil,Technology,Books,Bohemian Dreamcatcher Wall Decor,7,0,$923.44,190.079
124,11/13/2024,1/12/2025,Standard,Female,199.143.25.253,5D70F81UJ51,Corporate,Sale,Rabat-Salé-Zemmour-Zaer,Morocco,Furniture,Kitchen Appliances,Cozy Knit Throw Pillow,2,0.2,$156.24,190.03
125,3/25/2024,6/22/2024,Standard,Male,82.223.36.121,1PN2PM5MU83,Home Office,Albury,New South Wales,Australia,Furniture,Toys,Bohemian Dreamcatcher Wall Decor,6,0,$704.63,190
126,3/14/2024,11/20/2024,Express,Female,71.13.109.158,5GE6Y12ER39,Home Office,Kutahya,Kutahya,Turkey,Technology,Pet Supplies,Unique Hand-Carved Wooden Bowl,6,0,-$781.85,189.89
127,7/17/2024,5/3/2024,Economy,Female,148.113.77.37,8CF2PP6CA77,Consumer,Cleveland,Ohio,United States,Furniture,Books,Rustic Farmhouse Sign,5,0.17,$2.46,1.82
128,8/14/2024,10/10/2024,Economy,Male,60.139.124.17,8AP9UE2RR60,Corporate,Daqing,Heilongjiang,China,Technology,Kitchen Appliances,Boho Macrame Wall Hanging,3,0,$206.64,189.75
129,12/16/2024,2/15/2025,Next-day,Female,186.148.57.46,6PD2DF2XH75,Corporate,Tampa,Florida,United States,Furniture,Outdoor Gear,Sleek Aluminum Water Bottle,3,0,-$5.53,1.58
130,2/29/2024,1/12/2025,Standard,Female,208.225.220.238,5HU3TP7PG57,Consumer,Yaounde,Centre,Cameroon,Technology,Kitchen Appliances,Cozy Cable Knit Blanket,8,0.2,$809.28,189.54
131,2/18/2024,1/2/2025,Next-day,Male,71.155.114.242,1YN6QM0NT91,Consumer,Vaughan,Ontario,Canada,Office Supplies,Books,Trendy Neon Sign,1,0,$1.44,1.35
